t a1 a2 a3 a4 a5 a6 b1 b2 b3 b4 b5 b6 disa disb bnda bndb
7.35000 7.04320 7.03010 7.00893 6.98689 6.96990 6.96097 7.00009 7.00005 7.00002 6.99998 6.99995 6.99991 0.07384 0.00014 1.38134 0.00162
7.40000 7.04255 7.02970 7.00888 6.98714 6.97030 6.96142 7.00008 7.00004 7.00002 6.99998 6.99996 6.99992 0.07285 0.00013 1.36296 0.00152
7.45000 7.04192 7.02930 7.00884 6.98738 6.97070 6.96186 7.00008 7.00004 7.00002 6.99998 6.99996 6.99992 0.07188 0.00013 1.34482 0.00144
7.50000 7.04129 7.02891 7.00879 6.98762 6.97109 6.96230 7.00007 7.00004 7.00002 6.99998 6.99996 6.99993 0.07091 0.00012 1.32693 0.00135
7.55000 7.04068 7.02853 7.00873 6.98785 6.97147 6.96274 7.00007 7.00004 7.00002 6.99998 6.99996 6.99993 0.06996 0.00011 1.30927 0.00128
7.60000 7.04008 7.02815 7.00868 6.98807 6.97185 6.96317 7.00006 7.00004 7.00002 6.99998 6.99996 6.99994 0.06903 0.00011 1.29184 0.00120
7.65000 7.03949 7.02777 7.00862 6.98829 6.97223 6.96361 7.00006 7.00003 7.00002 6.99998 6.99997 6.99994 0.06810 0.00010 1.27465 0.00113
7.70000 7.03891 7.02740 7.00856 6.98850 6.97260 6.96404 7.00006 7.00003 7.00001 6.99999 6.99997 6.99994 0.06719 0.00009 1.25769 0.00107
7.75000 7.03834 7.02704 7.00850 6.98870 6.97296 6.96446 7.00005 7.00003 7.00001 6.99999 6.99997 6.99995 0.06629 0.00009 1.24095 0.00101
7.80000 7.03778 7.02668 7.00843 6.98890 6.97332 6.96489 7.00005 7.00003 7.00001 6.99999 6.99997 6.99995 0.06541 0.00008 1.22444 0.00095
7.85000 7.03723 7.02632 7.00837 6.98910 6.97368 6.96531 7.00005 7.00003 7.00001 6.99999 6.99997 6.99995 0.06453 0.00008 1.20814 0.00089
7.90000 7.03669 7.02597 7.00830 6.98929 6.97403 6.96572 7.00004 7.00002 7.00001 6.99999 6.99998 6.99996 0.06367 0.00007 1.19206 0.00084
