t tx ty tvx tvy zx zy ex ey evx evy fdvx fdvy sx sy errz errkf
10.1000 16.8504 22.4731 2.1679 1.8407 15.6592 22.6820 16.6165 22.5961 1.6699 2.0883 -12.0815 4.9493 0.3934 0.2300 1.2093 0.2643
10.2000 17.0668 22.6578 2.2741 1.8724 16.7271 23.3186 16.7748 22.9137 1.6625 2.2173 10.6793 6.3660 0.3934 0.2300 0.7430 0.3883
10.3000 17.3067 22.8539 2.4481 1.9940 17.4071 22.6904 17.0132 23.0412 1.7231 2.1056 6.7999 -6.2820 0.3934 0.2300 0.1919 0.3482
10.4000 17.5673 23.0446 2.7004 1.8465 16.0582 22.7924 17.0110 23.1545 1.5766 1.9902 -13.4890 1.0197 0.3934 0.2300 1.5300 0.5671
10.5000 17.8410 23.2355 2.7800 1.9854 19.2021 22.8192 17.4834 23.2404 1.8410 1.8560 31.4384 0.2680 0.3934 0.2300 1.4233 0.3576
10.6000 18.1304 23.4182 2.9141 1.8268 17.2378 23.8360 17.6010 23.5128 1.7851 1.9589 -19.6427 10.1685 0.3934 0.2300 0.9856 0.5378
10.7000 18.4161 23.6157 2.8668 2.1495 18.7152 24.1994 17.9243 23.8126 1.9067 2.0822 14.7745 3.6340 0.3934 0.2300 0.6559 0.5297
10.8000 18.6975 23.8342 2.7578 2.2403 15.5787 24.2414 17.7224 24.0675 1.5770 2.1376 -31.3656 0.4201 0.3934 0.2300 3.1453 1.0026
10.9000 18.9797 24.0534 2.8939 2.0445 20.7404 23.8520 18.3229 24.1904 1.9489 2.0298 51.6169 -3.8940 0.3934 0.2300 1.7721 0.6710
11.0000 19.2601 24.2639 2.8059 2.2864 18.1402 23.7599 18.4593 24.2593 1.8998 1.8707 -26.0019 -0.9211 0.3934 0.2300 1.2281 0.8009
11.1000 19.5410 24.5064 2.8269 2.5941 18.8365 25.5067 18.6783 24.6708 1.9241 2.1370 6.9629 17.4683 0.3934 0.2300 1.2235 0.8782
11.2000 19.8315 24.7829 2.8612 3.0185 20.3351 24.0175 19.0973 24.7010 2.1145 1.9193 14.9859 -14.8924 0.3934 0.2300 0.9162 0.7387
11.3000 20.1137 25.0828 2.8456 3.0192 18.0331 25.0771 19.1113 24.9319 1.9486 1.9655 -23.0194 10.5961 0.3934 0.2300 2.0806 1.0137
11.4000 20.4205 25.3889 3.2013 3.0267 19.7691 25.8534 19.3778 25.2819 2.0088 2.1476 17.3594 7.7630 0.3934 0.2300 0.8001 1.0481
11.5000 20.7430 25.6927 3.3821 2.9454 21.6927 26.2749 19.9060 25.6614 2.2837 2.3430 19.2367 4.2150 0.3934 0.2300 1.1140 0.8376
11.6000 21.0783 25.9746 3.4143 2.7455 22.1080 26.5499 20.4399 26.0342 2.5403 2.5073 4.1530 2.7499 0.3934 0.2300 1.1795 0.6412
11.7000 21.4118 26.2579 3.3696 2.7943 22.2824 26.5874 20.9398 26.3489 2.7468 2.5833 1.7439 0.3751 0.3934 0.2300 0.9309 0.4807
11.8000 21.7423 26.5496 3.2926 2.7925 21.0145 26.7862 21.1835 26.6451 2.7208 2.6282 -12.6788 1.9880 0.3934 0.2300 0.7653 0.5669
11.9000 22.0784 26.8298 3.3609 2.6864 20.7676 27.2455 21.3491 26.9794 2.6314 2.7130 -2.4694 4.5928 0.3934 0.2300 1.3752 0.7445
12.0000 22.4118 27.1100 3.3642 2.7785 21.4870 27.3710 21.5928 27.2762 2.6151 2.7432 7.1938 1.2547 0.3934 0.2300 0.9609 0.8356
12.1000 22.7352 27.4085 3.2244 2.9516 23.3661 26.7425 22.0884 27.3795 2.8116 2.5403 18.7907 -6.2842 0.3934 0.2300 0.9173 0.6475
12.2000 23.0647 27.7000 3.3067 2.8190 23.5021 27.5749 22.5448 27.6211 2.9589 2.5256 1.3601 8.3236 0.3934 0.2300 0.4549 0.5258
12.3000 23.3949 27.9797 3.3324 2.7666 22.7290 27.1839 22.8234 27.7276 2.9443 2.3523 -7.7310 -3.9103 0.3934 0.2300 1.0377 0.6246
