# raw rows of the Chapter 25 mini-study; generated by code/figures/gen_ch25_study.py from code/ch25_evaluation.py; cells (2,0) (2,1) (4,0) (4,1), seeds 0-19, strategies none/local/replan/hybrid, prediction=noisy; add the git commit of the code to this line when you publish a study
k m seed strategy family collision n_collisions near_miss dmin_dd dmin_di path_total path_ratio travel_mean makespan soc success replans avoid_steps comp_mean_ms comp_p99_ms comp_max_ms comp_total_s deadline_misses ef_mean ef_max comm_viol steps
2 1 3 hybrid straight 0 0 0 1.2079 1.3689 37.0887 1.0316 14.2000 15.0000 28.4000 1 1 52 0.1138 0.5004 0.8991 0.0364 0 2.0466 4.5797 0 160
2 1 4 none turning 1 1 1 2.1171 0.0002 35.4915 0.9990 12.5500 13.4000 25.1000 0 0 0 0.0580 0.1039 0.1548 0.0167 0 0.0296 0.2458 0 144
2 1 4 local turning 0 0 1 2.0768 0.9413 35.8008 1.0078 12.5500 13.4000 25.1000 1 0 52 0.1061 0.3898 0.4312 0.0306 0 0.2536 1.0560 0 144
2 1 4 replan turning 0 0 1 1.4596 0.9253 36.2128 1.0194 13.8000 14.5000 27.6000 1 5 0 0.0737 0.7731 0.8042 0.0229 0 0.5966 1.8536 0 155
2 1 4 hybrid turning 0 0 1 2.0768 0.9413 35.8008 1.0078 12.5500 13.4000 25.1000 1 0 52 0.1123 0.3891 0.4204 0.0323 0 0.2536 1.0560 0 144
2 1 5 none evasive 0 0 1 2.1614 0.8056 35.8078 0.9989 12.6500 13.5000 25.3000 1 0 0 0.0580 0.1057 0.1454 0.0168 0 0.0294 0.2458 0 145
2 1 5 local evasive 0 0 0 2.0946 1.1859 36.6101 1.0214 12.6500 13.5000 25.3000 1 0 54 0.1117 0.4631 0.5300 0.0324 0 0.2168 1.0485 0 145
2 1 5 replan evasive 0 0 0 3.3539 1.1930 39.0772 1.0899 13.6500 14.7000 27.3000 1 6 0 0.0734 0.7886 0.8412 0.0230 0 1.9349 4.2422 0 157
2 1 5 hybrid evasive 0 0 0 1.3228 1.7693 37.4771 1.0458 13.3500 13.5000 26.7000 1 1 47 0.1137 0.4209 0.9714 0.0330 0 1.3559 2.8470 0 145
2 1 6 none straight 1 1 1 1.9671 0.0000 35.5284 0.9990 12.6000 13.3000 25.2000 0 0 0 0.0630 0.1129 0.1474 0.0180 0 0.0294 0.2458 0 143
2 1 6 local straight 0 0 1 1.1856 0.9106 36.5124 1.0266 12.6000 13.3000 25.2000 1 0 66 0.1250 0.4610 0.5785 0.0358 0 0.2346 1.2110 0 143
2 1 6 replan straight 0 0 0 2.3461 2.1061 36.8567 1.0364 13.5000 13.8000 27.0000 1 4 0 0.0737 0.7724 0.9141 0.0218 0 0.9392 1.9389 0 148
2 1 6 hybrid straight 0 0 1 1.0076 0.9106 39.9218 1.1221 14.0000 14.7000 28.0000 1 1 81 0.1403 0.4013 0.9313 0.0441 0 1.7512 4.8827 0 157
2 1 7 none turning 1 1 1 2.1313 0.0002 35.7975 0.9990 12.6500 13.5000 25.3000 0 0 0 0.0644 0.1241 0.1851 0.0187 0 0.0294 0.2458 0 145
